2021-07-15 14:54:42,579 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 14:54:42,593 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 14:55:01,037 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:55:01,247 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:55:23,381 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:55:29,467 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:55:29,487 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:55:32,842 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:55:50,556 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:56:13,093 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:56:38,224 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:56:42,426 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:56:42,442 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:56:43,781 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 14:56:43,794 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 14:56:43,795 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:57:22,048 - [WARNING] -  __main__ - (get_inn.py).etp_identification(221) - ошибка <срока контракта>,0818500000821002668, list index out of range
2021-07-15 14:58:37,171 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:58:44,895 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:58:44,911 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:58:48,207 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 14:58:48,221 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 14:58:48,221 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 14:59:05,559 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:59:24,921 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 14:59:52,682 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 14:59:52,699 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 14:59:54,056 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 15:00:10,065 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 15:00:16,303 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 15:00:16,320 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 15:00:19,751 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 15:00:36,238 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 15:00:50,848 - [WARNING] -  parsePdf - (parsePdf.py).parse_inn(260) - пусто <регулярки>
2021-07-15 15:01:08,315 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 15:01:50,576 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 15:01:50,590 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 15:01:52,265 - [WARNING] -  __main__ - (get_inn.py).etp_identification(221) - ошибка <срока контракта>,0131300000621001178, list index out of range
2021-07-15 15:02:07,237 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 15:02:08,230 - [WARNING] -  __main__ - (get_inn.py).etp_identification(221) - ошибка <срока контракта>,0264100000121000089, list index out of range
2021-07-15 15:02:29,086 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 15:02:35,022 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_list_inn_docx(327) - пусто <inn_docx, adress_docx>
2021-07-15 15:03:25,966 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 15:03:25,982 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
2021-07-15 15:03:27,227 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(312) - <сайт не отвечает> <Response [404]>
2021-07-15 15:03:27,240 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).list_org_site(347) - <ошибка> list index out of range
2021-07-15 15:04:23,621 - [WARNING] -  My_Work.My_first.Banks.test_dx - (test_dx.py).parse_inn(261) - пусто <регулярки>
2021-07-15 15:04:29,525 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(261) - <сайт не отвечает> <Response [404]>
2021-07-15 15:04:29,542 - [WARNING] -  My_Work.My_first.Banks.data_check - (data_check.py).rusprofile_site(296) - <ошибка> 'NoneType' object has no attribute 'get_text'
